naptanId,commonName,latitude,longitud
490G00004680,Calley Down Crescent,51.33879,-0.00494
490G00004928,Central Parade,51.34013,-0.01399
490G00007028,Whetstone High Road / Friern Barnet Lane,51.62873,-0.17446
490G00009198,Linton Mead Primary School,51.50739,0.11325
490G00009926,New Addington Baptist Church,51.33926,-0.00893
490G00010317,North Avenue,51.51419,-0.37546
490G00010326,Northchurch Road,51.54248,-0.09225
490G00011439,Ravenscraig Road,51.61623,-0.13596
490G00011874,Main Road / Saltbox Hill,51.32537,0.02384
490G00012241,Southall Broadway,51.50999,-0.3762
490G00013214,Thamesmead Town Centre,51.50743,0.10897
490G00014102,Southall Town Hall,51.51076,-0.37527
490G00014703,Pound Lane / Willesden Bus Garage,51.5477,-0.2402
490G00017309,Eton Road / South Park Road,51.55286,0.09105
490G00020380,Meridian High School,51.33548,-0.00102
HUBWIM,Wimbledon,51.421505,-0.206444
490G00003247,All Saints Church,51.48339,0.1474
490G00003880,Lower Road / Belvedere Station,51.49061,0.15229
490G00003882,Eardley Road,51.48484,0.14841
490G00004130,Thamesmead / Carlyle Road,51.50343,0.11899
490G00006343,Picardy Manorway / Eastern Way,51.49813,0.1565
490G00006355,Eastgate Close,51.50899,0.12618
490G00007643,Hailey Road,51.49439,0.15028
490G00007689,Halt Robin Road,51.48788,0.14971
490G00008405,Hoveton Road,51.50932,0.11638
490G00009042,Thames Innovation Centre,51.49386,0.1421
490G00009166,Limestone Walk,51.4963,0.12978
490G00009206,Lister Walk,51.5067,0.12644
490G00010190,Southmere Lake,51.49783,0.12103
490G00010268,Nickelby Close,51.50923,0.12019
490G00010308,Yarnton Way / Norman Road,51.49559,0.1532
490G00010432,Northwood Place,51.49383,0.13761
490G00012593,Stapley Road,51.48187,0.14538
490G00013211,Harris Garrard Academy,51.49544,0.13381
490G00014990,Yarnton Way / Harrow Manorway,51.4964,0.12339
490G00015147,Picardy Manorway / Belvedere Station,51.49138,0.15587
490000015K,Barking Station,51.53942,0.08123
490G00003535,Bennetts Castle Lane,51.5515,0.1251
490G00003605,Barking Bus Garage,51.54651,0.09563
490G00003760,Becontree Avenue,51.55187,0.11337
490G00003802,Bedonwell Road / Long Lane,51.46845,0.14282
490G00003975,Bexleyheath Clock Tower,51.45648,0.14643
490G00004768,Capel Gardens,51.54968,0.1041
490G00006210,Nuxley Road / Dryhill Road,51.47958,0.14349
490G00006700,Faircross,51.54549,0.09264
490G00007288,St. Thomas More Catholic Church,51.55144,0.10686
490G00008116,Heversham Road,51.46575,0.14637
490G00008292,Hollingbourne Avenue,51.47122,0.14504
490G00008419,Hulse Avenue / Barking Park,51.54323,0.08771
490G00009217,Little Heath Road,51.47323,0.14533
490G00010459,Garden Avenue,51.46226,0.14783
490G00010860,Parsonage Manorway,51.47762,0.1453
490G00010890,Pelham Road,51.45916,0.14636
490G00013653,Thurlestone Avenue,51.54845,0.10003
490G00014931,Woolwich Road / Long Lane,51.46374,0.14914
490G00018828,Vicarage Field Shopping Centre,51.53762,0.08005
490001335B,White Hart Lane Station,51.60549,-0.06899
490G00003762,Morris Road,51.55921,0.14785
490G00006865,Winmill Road,51.5543,0.14217
490G00007182,Gillham Terrace,51.60586,-0.06239
490G00007394,Great Cambridge Road,51.60513,-0.08522
490G00007798,Haringey Football Club,51.60674,-0.09167
490G00008033,Heathway,51.55801,0.14724
490G00009704,Martins Corner / Valence Avenue,51.55174,0.12924
490G00010250,New River Sports Centre,51.60495,-0.09638
490G00011953,Scotswood Walk,51.60479,-0.05806
490G00012223,Solway Road,51.59986,-0.10078
490G00012722,Paisley Road,51.60214,-0.09759
490G00013727,Haringey Sixth Form College,51.60506,-0.07347
490G00013728,Tottenham Cemetery,51.60509,-0.07929
490G00013730,Tottenham High Road,51.60622,-0.06418
490G00014597,Rowland Hill Avenue,51.60567,-0.08683
490G00014853,Wood Green Crown Court,51.59834,-0.10457
490G00019017,Becontree Heath Leisure Centre,51.56132,0.14961
490G00019054,Charlecote Road,51.55298,0.13717
490G000899,Redvers Road,51.59744,-0.10811
490000007X,Angel Station,51.53396,-0.10558
490000070C,Edgware Station,51.6131,-0.27486
490000077D,Euston Station,51.52772,-0.13231
490000078Q,Euston Square Station,51.5256,-0.13685
490000089A,Goodge Street Station,51.52113,-0.13505
490000129E,King's Cross Station,51.5305,-0.12307
490000235C,Tottenham Court Road Station,51.51767,-0.13154
490000235V,Tottenham Court Road Station,51.51638,-0.13195
490000252X,Warren Street Station,51.52411,-0.13765
490G00003650,Baron Street / Chapel Market,51.53228,-0.10929
490G00005121,Chessington World of Adventures,51.35019,-0.31336
490G00005904,Penton Rise,51.53121,-0.11531
490G00008515,Islington Green,51.53609,-0.10358
490G00009498,British Library,51.52903,-0.12661
490G00010709,Packington Street,51.53684,-0.10108
490G00010942,Penton Street,51.53164,-0.11175
490G00014021,Vauxhall Park,51.48354,-0.12306
490G00014603,White Lion Street,51.53285,-0.10737
490G00015035,Sandycombe Road,51.46796,-0.28704
490G000691,Great Titchfield St / Oxford Circus Stn,51.51547,-0.13992
490000119F,Hyde Park Corner,51.50209,-0.15068
490015036K,Shepherd's Bush Station,51.50388,-0.21999
490015209K,Finsbury Square / Moorgate,51.52009,-0.08733
490G00000402,Bethune Road,51.52436,-0.26116
490G00003843,Belle Vue Road,51.60133,0.17234
490G00004911,Cedars Avenue,51.40233,-0.15476
490G00005445,Collier Row Roundabout / Clockhouse Lane,51.59975,0.16433
490G00005781,Walthamstow / Crooked Billet Roundabout,51.5996,-0.01591
490G00005804,Crooked Billet / Walthamstow Avenue,51.60144,-0.01746
490G00006470,Eley Trading Estate,51.61189,-0.04337
490G00006858,First Way,51.55793,-0.27558
490G00008153,Highfield Road,51.60625,0.17465
490G00009018,Felstead Road,51.60033,0.16861
490G00014163,Forest Road / Bell Corner,51.5897,-0.01825
490G00014165,Walthamstow Market,51.58536,-0.01948
490G00015132,Merlin Road,51.60369,0.17577
490G00015524,Hillrise Estate,51.60718,0.17274
490G000389,Angel Corner / Silver Street Station,51.61487,-0.06537
490G000971,Lordship Lane,51.59663,-0.10924
490000008C,Archway Station,51.56644,-0.13634
490000106G,Hendon Central Station,51.58386,-0.22808
490007913Z4,Ealing Broadway Stn   / Haven Green,51.51576,-0.30443
490G00003096,North Circular Road,51.57748,-0.21952
490G00003724,Beaufort Gardens,51.57989,-0.22527
490G00004282,Brent Cross Shopping Centre,51.57576,-0.22269
490G00005704,Waye Avenue,51.48047,-0.41434
490G00006354,East Finchley Library,51.59402,-0.16827
490G00007527,Greyhound Hill,51.59221,-0.23429
490G00008057,Hendon War Memorial,51.58553,-0.23077
490G00011191,Prince Charles Drive,51.57738,-0.22019
490G00012451,St Mary Magdalene Church,51.54848,-0.10684
490G00012753,St Joseph's School,51.58674,-0.23186
490G00014690,Willesden County Court,51.53573,-0.24852
490G00015327,Granville Road,51.60792,-0.17521
490G00018871,Heritage Avenue,51.59488,-0.24213
490G00018872,Rowan Drive,51.59358,-0.23705
490G000476,Cromwell Road Bus Station,51.41244,-0.29939
490G000817,Walthamstow Bus Station,51.58383,-0.02027
490000247C,Vauxhall Bus Station,51.48555,-0.12428
490002028Q,Cyprus Station,51.50904,0.0642
490002039B,Gallions Reach Station,51.50831,0.07249
490002058Y,Mitcham Tram Stop,51.39709,-0.1733
490G00003921,Berkeley Road,51.54693,0.04863
490G00006810,Ferndale Street,51.51064,0.06897
490G000074,Hornet Way,51.51275,0.08091
490G00009420,Lower Marsh,51.4994,-0.11377
490G00010223,Newington Butts,51.49211,-0.10192
490G00011801,Ruskin Avenue,51.54501,0.04942
490G00011932,Savage Gardens,51.51157,0.06195
490G00012058,Shelley Avenue,51.54293,0.04991
490G00013355,Devalls Close,51.50895,0.06612
490G00014207,Wanstead Road,51.40663,0.02953
490G00016872,Gallions Reach Shopping Park,51.51651,0.07949
490G00018714,Armada Point,51.50941,0.07457
490G00018760,Beckton Dlr Depot,51.51065,0.07842
490G000456,Forest Hill Station  / London Road,51.43965,-0.05537
490G000496,Beckton Bus Station,51.51443,0.05999
490G000631,Royal Docks Medical Centre,51.50949,0.06325
490001189N,Manor Park Station,51.55208,0.04671
490015125B,Wanstead Station,51.57531,0.02712
490015125C,Wanstead Station  / George Green,51.57508,0.0267
490G00004087,Blake Hall Crescent,51.56663,0.0246
490G00004653,Bush Road,51.57041,0.02355
490G00004706,Cambridge Park,51.57305,0.02351
490G00004769,Capel Road,51.55451,0.04651
490G00005322,City of London Cemetery,51.55866,0.04258
490G00006151,Dover Road,51.56201,0.03497
490G00006778,Felstead Road,51.57242,0.02364
490G00008702,Thomas Tallis School,51.46567,0.0281
490G00009816,Merlin Road,51.56018,0.03923
490G00010812,Park Road,51.56303,0.03195
490G00011372,Queenswood Gardens,51.56391,0.02556
490G00011661,Romford Road,51.55006,0.04772
490G00014205,Wanstead Park Avenue,51.55882,0.04156
490G00014816,Woodbine Place,51.57695,0.02679
490G00014821,Wanstead High St / Wanstead Station,51.57675,0.02739
490000191B,Regent's Park Station,51.52362,-0.14661
490G00001550,Park Lane / Fairfield Halls,51.37269,-0.0964
490G00006879,Florence Road,51.47524,-0.0284
490G00007016,Frensham Court,51.40548,-0.18257
490G00007213,Glebe Court,51.40385,-0.16548
490G00007657,Hainault Street,51.55967,0.07696
490G00007678,Hall Place,51.40251,-0.17253
490G00009353,Lonsdale Road,51.48535,-0.23335
490G00009721,Mawney Road,51.57707,0.17692
490G00009876,Miles Road,51.40349,-0.17591
490G00009946,Mitcham / Lower Green,51.40266,-0.16773
490G00009949,Mitcham Fair Green,51.40679,-0.1639
490G00010707,Oxted Close,51.4043,-0.17903
490G00011076,Plumstead Corner / Church Manorway,51.48582,0.10039
490G00011285,Putney Heath / Green Man,51.45326,-0.22139
490G00011299,Putney Hill / Green Man,51.45418,-0.22026
490G00011659,Romford Market,51.58059,0.1831
490G00012357,Vestry Road,51.47371,-0.08457
490G00013015,Sunningdale Avenue,51.53605,0.08181
490G000749,Southborough Road / Bickley Station,51.40151,0.04589
490001249F,Sidcup Station,51.43359,0.10541
490015534D,Sidcup Station,51.43361,0.10485
490G00003110,Adelaide Grove,51.50652,-0.23751
490G00003984,Bexley Library,51.44233,0.15091
490G00004578,Bunkers Hill / the White Cross,51.43079,0.14009
490G00005997,Kingsbury  / Pipers Green,51.58303,-0.26304
490G00007386,Gravel Hill Close,51.44876,0.15688
490G00007872,Hartford Road,51.44486,0.15201
490G00008854,Kirkside Road,51.48179,0.01989
490G00008898,St Charles Square,51.52134,-0.21241
490G00010083,Mount Mascal Farm,51.43444,0.14629
490G00010100,Mount Vernon Hospital,51.61639,-0.44483
490G00010858,Parsonage Lane / North Cray Church,51.42647,0.13527
490G00011892,Sanders Lane,51.60996,-0.21204
490G00014042,North Cray Road / Vicarage Road,51.43922,0.15292
490G00014560,Wheatsheaf Lane,51.48082,-0.12472
490G000580,Hayes / Station Approach,51.37749,0.01036
490G000856,Shepherd's Bush Green,51.50458,-0.22074
490001243ZA,Romford Station,51.57465,0.18343
490019673N,Moorehead Way / Weigall Road,51.459394,0.022454
490020132S,Moorehead Way / Pinto Way,51.460135,0.022213
490020133Z,Weigall Road / South Side,51.459185,0.024647
490020134E,Weigall Road / North Side,51.459377,0.025476
490G00000301,Kidbrooke Park Road,51.45874,0.02628
490G00003336,Annesley Road,51.47241,0.02278
490G00004065,Blackheath / Royal Standard,51.47771,0.02041
490G00008703,Kidbrooke Park Close,51.47063,0.02393
490G00008739,King Edward's Road,51.53737,-0.05685
490G00012109,Stratheden Road / Shooters Hill Road,51.47415,0.01621
490G00013617,Kidbrooke Park Road / Aldi Store,51.46369,0.02757
490G00014782,Wingfield School,51.4615,0.02158
490G00016642,Cranfield Walk,51.46151,0.02615
490G00019071,Stratheden Parade,51.47657,0.01898
490G00019155,Tudway Road / Sutcliffe Park,51.45684,0.02814
490G00020276,Ryan Close,51.4599,0.03085
490G00020277,Kidbrooke Station  / Tudway Road,51.46045,0.03036
490G000259,Gerrard Way,51.45874,0.03128
490G00002279,Valley Walk,51.37509,-0.05745
490G00002313,Palmers Green / Palmerston Road,51.61264,-0.11132
490G00004712,Cambridge Roundabout / East Side,51.61601,-0.08543
490G00005091,Chequers Way,51.61594,-0.09496
490G00006170,Haggerston Station,51.53854,-0.07664
490G00007476,Green Lanes,51.61252,-0.1071
490G00008707,Kidbrooke Grove,51.47403,0.02025
490G00009357,North Middlesex Hospital,51.61623,-0.07727
490G00009800,Melville Gardens,51.61389,-0.1031
490G00013014,Shooters Hill Road / Kidbrooke Park Road,51.47467,0.02304
490G00013325,Brook Lane,51.46744,0.02865
490G00013893,Ulster Gardens,51.61636,-0.09251
490G00014959,Wricklemarsh Road,51.4698,0.02735
490G00015617,Millfield Theatre & Arts Centre,51.61663,-0.08026
490G00019164,Cambridge Roundabout / West Side,51.61654,-0.08864
490G00019809,Dover Patrol,51.46648,0.02812
490000009W,Arnos Grove Station,51.61596,-0.13295
490000149Z,Moorgate Station,51.5178,-0.0884
490000241M,Turnpike Lane Station,51.59084,-0.10367
490001279S1,Streatham Station,51.42572,-0.13082
490001323A,Westcombe Park Station,51.48352,0.01969
490015472D,Wimbledon Station,51.42066,-0.20543
490G00000501,Warwick Road,51.61345,-0.12377
490G00003564,Pymmes Road,51.61232,-0.11795
490G00003691,Ethelburga Street,51.47675,-0.16852
490G00003697,Bawtry Road,51.62459,-0.156
490G00003707,Beaconsfield Road,51.62272,-0.15187
490G00003953,Betstyle Circus,51.61797,-0.14152
490G00004790,Carlisle Place,51.61765,-0.14337
490G00005877,Crystal Palace Park,51.41976,-0.07713
490G00006514,Old Church Street,51.4887,-0.17649
490G00007441,Clifton Road,51.5274,-0.35076
490G00009527,Mallard Place,51.43685,-0.33095
490G00011400,Raleigh Drive,51.6259,-0.15985
490G00012381,Spencer Road,51.61931,-0.14563
490G00017817,Arnos Grove Swimming Pool,51.61567,-0.13003
490009267E,Monument Station,51.5095,-0.08703
490G00002303,Camomile Street,51.51573,-0.082
490G00003647,Barnhill Community High School,51.52977,-0.39792
490G00003866,Edgebury Primary School,51.42454,0.07208
490G00004043,Wormwood Street,51.51631,-0.08225
490G00005847,Morval Road,51.45661,-0.1144
490G00006098,Hera Avenue,51.64434,-0.19914
490G00006359,East Ham Fire Station,51.52365,0.05755
490G00009290,London Wall,51.51562,-0.08944
490G00011667,Rom Valley Way,51.57138,0.18216
490G00011716,London Business School,51.5261,-0.16202
490G00013587,Homefield Close,51.52631,-0.3932
490G00014135,Shotfield,51.35729,-0.15116
490G00014511,Westow Park,51.41588,-0.0822
490G000539,Graham Road,51.58143,-0.22689
490G000934,Fenchurch Street,51.51236,-0.08493
HUBBAN,Bank,51.513395,-0.089095
HUBLBG,London Bridge,51.505881,-0.086807
490001157G,Ilford Station,51.5588,0.06998
490001271SA,St Mary Cray Station,51.39574,0.10721
490002019B,Bow Church Station,51.52794,-0.02047
490015234A,Clapham Common Station,51.46188,-0.13867
490G00005253,Church End,51.58994,-0.22518
490G00007943,Hayes / the George,51.37934,0.0183
490G00008907,Lake Avenue,51.52547,0.21755
490G00009222,Little Park Gardens,51.65294,-0.08611
490G00011301,Ruckholt Road Bridge,51.55295,-0.01888
490G00011481,Sanderstead Road,51.35253,-0.0984
490G00012026,Grange Road,51.5685,-0.34806
490G00012536,St Andrew's Church,51.56069,0.2262
490G00012790,St Mary's Church,51.63521,-0.15501
490G00012910,Strathearn Road,51.42634,-0.20089
490G00013207,Greenwich Trust School,51.49026,0.03988
490G00013366,The Gardens,51.46095,-0.06643
490G00014691,Willesden Green Library,51.54683,-0.22874
490G00019479,Millbrook Road,51.63039,-0.05676
490G00020110,Lakeview Road,51.42477,-0.10536
210G985,Elstree Studios,51.65821,-0.270807
490000113G,Holland Park Station,51.50696,-0.20612
490001200A,Mottingham Station,51.43971,0.05104
490001268ZD,St James Street Station,51.58131,-0.03243
490G00003521,Awlfield Avenue,51.59784,-0.08313
490G00004596,Burleigh Road,51.38334,-0.21453
490G00006334,Tessa Jowell Health Centre,51.45874,-0.08
490G00007707,Hammersmith Hospital,51.51615,-0.2346
490G00007859,Harrow Road / College Park,51.53146,-0.23709
490G00010036,Morley Avenue,51.59906,-0.0983
490G00010769,Park Gate,51.63693,-0.11582
490G00011601,Riversdale Road,51.55794,-0.0986
490G00013614,Third Way,51.55575,-0.27084
490G00014334,Weigall Road,51.45461,0.01991
490G00015346,Rockmount Road,51.4198,-0.08781
490G00016727,Park Avenue Bush Hill Park,51.64006,-0.07282
490G00018861,Sayes Court Estate,51.48213,-0.02816
490G00019128,Constable Close,51.61323,-0.1586
490G000371,Norbiton Church / Tiffin Boys School,51.41055,-0.29557
490G000536,Putney Bridge Stn  / Gonville Street,51.46781,-0.21179
400G4402065A,Spelthorne Grove,51.419793,-0.424808
400G4409197A,Harps Oak Lane,51.274509,-0.156161
490001243T,Romford Station,51.57443,0.18385
490004722A,St Pancras International Station,51.52946,-0.12499
490G00002410,Stanley Road / Stanley Park Road,51.35467,-0.16227
490G00003754,Jenkins Lane,51.52566,0.07902
490G00004321,Coldharbour,51.50348,-0.0079
490G00008294,Hollingbourne Road,51.45601,-0.09779
490G00008446,Hyde Park Street,51.51257,-0.16703
490G00008512,Isleworth War Memorial,51.47016,-0.32818
490G00008527,Ivy Gardens,51.40221,-0.13522
490G00009117,Catford Road / Lewisham Town Hall,51.44476,-0.02102
490G00009400,Lovett Road,51.59823,-0.48364
490G00010898,Pembroke Road,51.49465,-0.20064
490G00012538,St Andrew's Church / Wickham Road,51.46138,-0.03523
490G00013693,Tollington Park,51.56887,-0.11112
490G00013777,Treaty Centre,51.46704,-0.36369
490G00014735,Wimbledon Magistrates Court,51.42363,-0.20405
490G00015005,Yiewsley High Street,51.51287,-0.47277
490G00016330,Northumberland Park Rail Depot,51.5971,-0.05475
400G4408111A,The White Horse,51.232598,-0.330211
490000173RG,Oxford Circus Station,51.51459,-0.14167
490G00003164,Albert Square,51.47695,-0.11742
490G00004288,Brentford Bus Garage,51.48395,-0.31438
490G00004695,Cambridge Circus,51.51341,-0.12921
490G00005826,Crouch End Broadway,51.57862,-0.12382
490G00007249,Gloucester Road,51.42931,-0.34361
490G00007826,Colchester Road,51.60267,0.24723
490G00009636,Marchwood Crescent,51.52025,-0.30611
490G00009944,Mitcham / Cricket Green,51.40058,-0.1674
490G00010363,Kenmere Gardens,51.54134,-0.28349
490G00012248,Peckham Road / Southampton Way,51.4742,-0.07655
490G00012723,St James Church / Kingston By-Pass,51.39544,-0.25417
490G00013255,Watling Avenue,51.60128,-0.26636
490G00013511,The Quadrant,51.46193,-0.30294
490G00013636,Thornton Road,51.38383,-0.17353
490G00014501,Westmoreland Road,51.48493,-0.09367
490G00014636,Whitton High Street,51.45222,-0.35812
490G00014687,Willesden Bus Garage,51.54856,-0.2382
1590010201,West Road,51.523338,0.297053
210G992,Civic Offices,51.659003,-0.268464
400G4409200A,Star Lane,51.29408,-0.153498
400G4410163B,Verdayne Gardens,51.31546,-0.061403
490000041A,Canons Park Station,51.60754,-0.29435
490000203C,Shepherd's Bush Station,51.50513,-0.21795
490000235P,Tottenham Ct Rd Stn  / New Oxford St,51.51676,-0.12832
490001344N2,Woolwich Arsenal Station,51.48993,0.06833
490002029T,Deptford Bridge Station,51.47442,-0.02319
490G00004093,Blandford Close,51.58538,-0.17755
490G00004431,Bromley Road / Oakwood Avenue,51.40649,-0.01566
490G00006233,Dulwich College,51.44298,-0.08486
490G00007242,Globe Road,51.52812,-0.05012
490G00007526,Brixton Academy,51.4649,-0.11489
490G00007896,Hatch End / Telephone Exchange,51.60739,-0.37526
490G00008212,Hillcross Avenue,51.39531,-0.2142
490G00009670,Marksbury Avenue,51.46808,-0.28271
490G00010753,Park Avenue,51.60036,-0.11486
490G00011911,Sudbrook Lane,51.44407,-0.30265
490G000732,Royal Free Hospital,51.55395,-0.16551
490000101J,Harrow & Wealdstone Station,51.59313,-0.33592
490001189S,Manor Park Station,51.55283,0.04665
490012929S4,Streatham Station,51.42497,-0.13074
490G00003033,Abbey Sports Centre,51.53479,0.07971
490G00005817,Erith Town Centre / Riverside,51.48089,0.18048
490G00006271,Durham Road,51.58421,-0.35794
490G00006392,Eaton Road,51.46287,-0.3478
490G00007576,Grove Road,51.57758,-0.01637
490G00007797,Haringey Civic Centre,51.59998,-0.11143
490G00008975,Larcom Street,51.49043,-0.09722
490G000093,Marlborough Primary School,51.49232,-0.16607
490G00011326,Queensbury Circle,51.59628,-0.29475
490G00012107,Eaglesfield Road,51.47369,0.06964
490G00013712,Tooting Bec Lido,51.43065,-0.14115
490G00013791,Tressillian Road,51.46254,-0.02849
490G00014026,Verdant Lane / Sandhurst Road,51.44156,0.00408
490G00014210,Sampson Street,51.50391,-0.06366
490G00015575,Parsons Green,51.47287,-0.19925
490G00015852,Lealand Road,51.57852,-0.07309
490G00003050,Abbs Cross Academy,51.55342,0.2062
490G00004379,Well Hall Road / Broad Walk,51.46859,0.05382
490G00004470,Brook Road,51.5645,-0.24017
490G00004657,Cable Street,51.51136,-0.04199
490G00005626,Costons Lane,51.53092,-0.3503
490G00006819,Ferry Lane,51.5876,-0.05886
490G00008109,Hesa Road,51.51526,-0.40921
490G00008639,Kennedy Road,51.52505,-0.34137
490G00008692,Kew Gardens / Lion Gate,51.47127,-0.29328
490G00009035,Lea Bridge Roundabout,51.55723,-0.05597
490G00009063,Burnt Ash Road / Lee Road,51.45613,0.01137
490G00010959,Peterborough Road,51.57402,0.00152
490G00011324,Queensberry Place,51.49391,-0.17723
490G00012184,Sixth Cross Road,51.43949,-0.35996
490G00012754,St Julian's Farm Road,51.43015,-0.10441
490G00014047,Vicar's Bridge,51.53505,-0.29656
490G00016352,Prologis Park,51.5232,-0.00537
490G000958,Griffin Road / Plumstead Station,51.48922,0.08534
HUBSRA,Stratford,51.541508,-0.00241
HUBWAT,Waterloo,51.504269,-0.113356
490000008U,Archway Station,51.56493,-0.13496
490G00003132,Ajax Avenue,51.5938,-0.25291
490G00004040,Bishop's Bridge / Paddington Station,51.51851,-0.17927
490G00004335,Bridgewater Road,51.55238,-0.31266
490G00005335,Beckton Triangle Retail Park,51.52344,0.06903
490G00005516,Northend Road / Colyers Lane,51.4698,0.18103
490G00005869,Crystal Palace Parade,51.42083,-0.07812
490G00007051,Fulham High Street / New Kings Road,51.47023,-0.2104
490G00007123,Wimbledon Road,51.43131,-0.18396
490G00008434,Townmead Road,51.46747,-0.19017
490G00009027,High Street / Penge West Station,51.41774,-0.05893
490G00009258,Logs Hill,51.41399,0.04465
490G00009623,Mapledale Avenue,51.37425,-0.07099
490G00009722,Mawney Road,51.5828,0.16634
490G00010542,Oldfield Lane North,51.55176,-0.33912
490G00013356,Millennium Leisure Park West,51.49008,0.01305
490G00014575,Whitchurch Road,51.61326,0.22324
